account	period	model	threshold	kept	pnl	pf	wr	max_dd_pct	avg_pnl	avg_r
C	2024-01-01	V6	0.55	180	-60.65500000000273	0.9789688039280876	0.36666666666666664	55.170273037419314	-0.3369722222222374	-0.9093240570443533
C	2024-01-01	V6	0.60	220	523.9069999999983	1.1530144673990657	0.36818181818181817	53.594784928107266	2.381395454545447	0.19043835235876694
C	2024-01-01	V6	0.65	250	288.94499999999744	1.0726051203137534	0.368	55.84872605899635	1.1557799999999898	-1.4844487275564935
C	2024-01-01	V4+v6-OR	0.45	37	-205.36100000000147	0.6746086322727833	0.32432432432432434	24.810758743892382	-5.550297297297337	-15.397757005893679
C	2024-01-01	V4+v6-OR	0.50	57	-89.24000000000095	0.9083709559340681	0.3333333333333333	34.29667536270908	-1.565614035087736	-10.895023314652114
C	2024-01-01	V4+v6-OR	0.55	83	35.91599999999811	1.024704724341746	0.37349397590361444	35.954411227977175	0.4327228915662423	-0.5144400040937938
C	2024-01-01	V4+v6-OR	0.60	106	619.2799999999995	1.3464865974790086	0.39622641509433965	39.92018747015931	5.842264150943391	6.370796831038955
C	2024-01-01	V4+v6-OR	0.65	131	596.6759999999997	1.2661582677203989	0.3969465648854962	38.317867494478556	4.554778625954196	6.4903342435997144
D	2025-10-01	UNFILTERED	—	75	-441.2680000000046	0.869823769962244	0.32	72.10857861961806	-5.883573333333394	-4.545019700132432
D	2025-10-01	V4	0.45	33	715.529999999997	1.5178485615197088	0.42424242424242425	26.968615845747383	21.68272727272718	26.467282746340373
D	2025-10-01	V4	0.50	37	857.3899999999962	1.5796011021607836	0.43243243243243246	25.304099414120824	23.1727027027026	31.71394334833047
D	2025-10-01	V4	0.55	46	598.2449999999958	1.3106070400004959	0.391304347826087	27.48892146965554	13.00532608695643	18.661615268828633
D	2025-10-01	V4	0.60	48	516.410999999996	1.2571915224228456	0.375	28.56042549056606	10.758562499999917	13.717381299294106
D	2025-10-01	V4	0.65	50	150.47099999999546	1.063387570692867	0.36	45.200322757038826	3.009419999999909	9.168686047322343
D	2025-10-01	V5	0.45	36	282.7229999999968	1.174503027785508	0.3611111111111111	44.446133318946266	7.853416666666577	13.390700176278436
D	2025-10-01	V5	0.50	37	229.357999999997	1.1370507539171766	0.35135135135135137	44.446133318946266	6.198864864864784	10.32608665800064
D	2025-10-01	V5	0.55	37	229.357999999997	1.1370507539171766	0.35135135135135137	44.446133318946266	6.198864864864784	10.32608665800064
D	2025-10-01	V5	0.60	39	342.5029999999965	1.1989803002513788	0.358974358974359	45.57544272702086	8.782128205128116	11.77863416494206
D	2025-10-01	V5	0.65	39	342.5029999999965	1.1989803002513788	0.358974358974359	45.57544272702086	8.782128205128116	11.77863416494206
